row,simplified,target_level,sentence_col,sentence,offending_word,word_level
419,雨,L1,sentence_1,今天下雨了。,天下,L6
425,再,L1,sentence_1,请再说一次。,再说,L4
446,真,L1,sentence_3,今天真冷。,天真,L6
458,住,L1,sentence_3,她一个人住。,个人,L5
474,班,L2,sentence_1,他今天上班。,天上,L5
534,得,L2,sentence_1,他得了第一。,得了,L6
534,得,L2,sentence_2,我得了很多书。,得了,L6
534,得,L2,sentence_3,她得了很多钱。,得了,L6
539,等,L2,sentence_1,他得了第一等。,得了,L6
705,上网,L2,sentence_1,我每天上网看书。,天上,L5
753,下面,L2,sentence_3,下面的话很短。,的话,L3
801,长,L2,sentence_2,要听长的话。,的话,L3
851,办公室,L3,sentence_1,他的办公室在三楼。,办公,L4
851,办公室,L3,sentence_2,这间办公室很大。,办公,L4
851,办公室,L3,sentence_3,请到我的办公室来谈。,办公,L4
1033,干净,L3,sentence_3,这本书写得很干净。,书写,L6
1036,刚,L3,sentence_2,这个人看起来很柔，心里很刚。,个人,L5
1056,刮,L3,sentence_1,那个人刮了很多钱。,个人,L5
1057,刮,L3,sentence_2,这个人只刮钱。,个人,L5
1061,关,L3,sentence_2,那件事关好几个人。,个人,L5
1075,害怕,L3,sentence_1,我害怕一个人在家。,个人,L5
1075,害怕,L3,sentence_2,她害怕一个人走夜路。,个人,L5
1102,机会,L3,sentence_2,我没有机会去中国。,有机,L6
1182,可是,L3,sentence_3,今天下雨，可是我没带伞。,天下,L6
1208,历史,L3,sentence_1,我喜欢学历史。,学历,L5
1210,练,L3,sentence_3,多练才能说好中文。,才能,L6
1235,明白,L3,sentence_3,请说明白一些。,说明,L4
1250,牛,L3,sentence_3,那个人用牛耕地。,个人,L5
1315,世界,L3,sentence_2,我想去世界上很多地方看看。,去世,L5
1403,先,L3,sentence_2,这件事先不要说。,事先,L5
1431,信用卡,L3,sentence_1,我用信用卡付钱。,信用,L5
1431,信用卡,L3,sentence_2,这里可以用信用卡吗？,信用,L5
1431,信用卡,L3,sentence_3,他没有信用卡。,信用,L5
1433,行,L3,sentence_3,第二行有五个人坐着。,个人,L5
1466,一样,L3,sentence_1,我们两个人说的一样。,个人,L5
1472,以上,L3,sentence_2,考到八十分以上才可以。,十分,L4
1532,直到,L3,sentence_2,直到明天我们再说话。,再说,L4
1574,爱情,L4,sentence_3,爱情需要两个人一起努力。,个人,L5
1647,不得不,L4,sentence_1,他不得不取消了这次旅行。,不得,L6
1647,不得不,L4,sentence_2,天黑了，我不得不回家。,不得,L6
1647,不得不,L4,sentence_3,没有钱，她不得不找工作。,不得,L6
1656,不过,L4,sentence_2,这件事再好不过了！,好不,L6
1727,此外,L4,sentence_3,今天下雨了，此外还有风。,天下,L6
1728,从此,L4,sentence_1,他们两个人不再联系，从此分开生活。,个人,L5
1776,单位,L4,sentence_3,这个单位有很多人工作。,人工,L5
1820,低于,L4,sentence_1,他的成绩低于班里其他人。,他人,L5
1866,多样,L4,sentence_3,我们需要多样的食物才能身体好。,才能,L6
1889,方式,L4,sentence_2,每个人的生活方式都不同。,个人,L5
1902,分数,L4,sentence_1,我的数学分数不太好。,学分,L5
1902,分数,L4,sentence_2,老师告诉每个人自己的分数。,个人,L5
1913,符合,L4,sentence_2,这个计划不符合要求。,不符,L5
1941,感情,L4,sentence_1,他们两个人的感情很深。,个人,L5
1979,共,L4,sentence_1,中共成立于一九二一年。,成立,L5
2053,互联网,L4,sentence_1,我在互联网上找到了答案。,联网,L6
2053,互联网,L4,sentence_2,互联网让我们更容易联系。,联网,L6
2053,互联网,L4,sentence_3,他每天都用互联网工作。,联网,L6
2054,互相,L4,sentence_3,朋友之间要互相关注。,相关,L5
2080,获得,L4,sentence_1,他获得了第一名。,得了,L6
2080,获得,L4,sentence_3,她获得了一个好成绩。,得了,L6
2135,减轻,L4,sentence_2,少带一些东西可以减轻重。,轻重,L5
2141,健身,L4,sentence_2,健身可以让你更有力气。,有力,L5
2198,仅,L4,sentence_1,这件事仅他一个人知道。,个人,L5
2303,力气,L4,sentence_2,我没有力气了，太累了。,有力,L5
2307,厉害,L4,sentence_3,这个人太厉害了。,个人,L5
2312,连,L4,sentence_1,把电脑连到互联网上。,联网,L6
2313,连,L4,sentence_3,她连名字都不记得了。,得了,L6
2314,连,L4,sentence_2,连我一起，我们有五个人。,个人,L5
2466,普通话,L4,sentence_1,我在学普通话。,通话,L6
2466,普通话,L4,sentence_2,她的普通话说得很好。,通话,L6
2466,普通话,L4,sentence_3,在中国，学生都要学普通话。,通话,L6
2467,期,L4,sentence_1,这个计划分三期完成。,划分,L6
2508,庆祝,L4,sentence_3,他们庆祝了公司开业十年。,开业,L5
2517,取得,L4,sentence_1,他取得了很好的成绩。,得了,L6
2517,取得,L4,sentence_2,她取得了签证。,得了,L6
2517,取得,L4,sentence_3,我们取得了成功。,得了,L6
2580,身份证,L4,sentence_1,请把你的身份证给我看看。,身份,L5
2580,身份证,L4,sentence_2,我的身份证丢了。,身份,L5
2580,身份证,L4,sentence_3,他忘了带身份证。,身份,L5
2680,算,L4,sentence_3,他用手机算了总价。,算了,L6
2709,提,L4,sentence_1,他把重箱子提起来，放到车上。,提起,L5
2709,提,L4,sentence_2,她提起水桶走了过去。,提起,L5
2753,痛,L4,sentence_1,他痛打了那个人一顿。,个人,L5
2771,外出,L4,sentence_3,今天下雨，我不想外出。,天下,L6
2783,危险,L4,sentence_2,一个人爬山有危险。,个人,L5
2799,无法,L4,sentence_2,一个人无法完成这个工作。,个人,L5
2876,修,L4,sentence_3,学校计划修一个新图书馆。,图书,L5
2895,眼镜,L4,sentence_3,她要戴眼镜才能看清楚。,才能,L6
2912,要是,L4,sentence_2,要是明天下雨，我们就不去了。,天下,L6
2935,赢得,L4,sentence_3,她赢得了比赛。,得了,L6
2939,勇敢,L4,sentence_2,他勇敢地面对了困难。,地面,L5
2991,云,L4,sentence_1,书云：好好学习。,好学,L6
3067,重视,L4,sentence_2,公司重视每个人的意见。,个人,L5
3089,赚,L4,sentence_2,小心那个人，他会赚你的。,个人,L5
3091,装,L4,sentence_1,把东西装上车。,西装,L5
3256,不得了,L5,sentence_1,大水淹了村子，情况不得了。,不得,L6
3256,不得了,L5,sentence_1,大水淹了村子，情况不得了。,得了,L6
3256,不得了,L5,sentence_2,他的病已经严重到不得了。,不得,L6
3256,不得了,L5,sentence_2,他的病已经严重到不得了。,得了,L6
3256,不得了,L5,sentence_3,这次事故不得了，死了很多人。,不得,L6
3256,不得了,L5,sentence_3,这次事故不得了，死了很多人。,得了,L6
3302,产,L5,sentence_3,中国产的商品出口到很多地方。,国产,L6
3325,吵,L5,sentence_1,他们两个人为小事吵了起来。,人为,L6
3358,成人,L5,sentence_1,这部电影只适合成人看。,合成,L6
3397,出色,L5,sentence_1,她的表现非常出色，赢得了很多人喜爱。,得了,L6
3486,大于,L5,sentence_3,收入大于花出的钱才能存钱。,才能,L6
3557,低头,L5,sentence_1,他不愿意低头承认错误。,认错,L6
3679,分离,L5,sentence_2,他们不得不分离了很多年。,不得,L6
3749,隔,L5,sentence_1,一堵墙把两个房间隔开了。,间隔,L6
3749,隔,L5,sentence_3,他们用布把空间隔开。,间隔,L6
3750,隔,L5,sentence_1,用木板把房间隔成两半。,间隔,L6
3812,冠军,L5,sentence_1,他们赢得了这个冠军。,得了,L6
3970,计算,L5,sentence_1,他用计算器计算了费用。,算了,L6
3972,计算机,L5,sentence_1,他用计算机算了一下总价。,算了,L6
4181,亏,L5,sentence_3,亏得天气好，我们才能出门。,才能,L6
4261,流感,L5,sentence_1,他得了流感，在家休息。,得了,L6
4318,明确,L5,sentence_3,目标要明确，这样才能成功。,才能,L6
4382,跑道,L5,sentence_3,飞机降落后在跑道上慢慢停下。,落后,L6
4393,配合,L5,sentence_1,大家要配合，这样才能完成任务。,才能,L6
4436,评,L5,sentence_2,谁来评这道菜好不好？,好不,L6
4442,凭借,L5,sentence_1,他凭借努力取得了好成绩。,得了,L6
4504,轻易,L5,sentence_3,她轻易就把这首歌唱好了。,歌唱,L6
4564,人民币,L5,sentence_1,我用人民币付了钱。,用人,L6
4603,善于,L5,sentence_3,这个学生善于解决数学问题。,学问,L6
4635,设施,L5,sentence_1,这个体育馆设施很好。,个体,L6
4661,升级,L5,sentence_2,这个游戏需要努力练习才能升级。,才能,L6
4673,胜利,L5,sentence_1,他们获得了一个重要的胜利。,得了,L6
4783,顺,L5,sentence_1,他顺风向往前走。,向往,L6
4790,私人,L5,sentence_1,这是他的私人事情，不要问。,人事,L6
4876,挑战,L5,sentence_2,这支球队主动挑战了冠军队。,军队,L6
4919,退,L5,sentence_1,请向后退一步。,后退,L6
5001,戏,L5,sentence_3,妈妈很喜欢看中国传统的戏。,看中,L6
5093,信任,L5,sentence_2,他赢得了大家的信任。,得了,L6
5105,形成,L5,sentence_3,这个项目慢慢地形成了。,地形,L6
5132,学分,L5,sentence_2,他还需要十个学分，然后才能毕业。,才能,L6
5262,优势,L5,sentence_1,他的队在比赛中逐渐取得了优势。,得了,L6
5281,有助于,L5,sentence_3,朋友的支持有助于他度过困难。,持有,L6
5400,阵,L5,sentence_1,外面突然下了一阵大雨。,一阵,L6
5400,阵,L5,sentence_2,他突然笑了好一阵。,一阵,L6
5400,阵,L5,sentence_3,我们等了好一阵才进去。,一阵,L6
5433,指导,L5,sentence_2,他指导球队取得了好成绩。,得了,L6
5530,资格,L5,sentence_3,她获得了教师资格证书。,得了,L6
5559,组合,L5,sentence_1,这个团队由来自不同地区的人组合而成。,由来,L6
