simplified	pinyin	pos	classifier	definition	new_hsk	sentence_1	translation_1	sentence_2	translation_2	sentence_3	translation_3
的	de	particle, noun		used to indicate attributes (e.g. 我刚买的书 the book I just bought)	L1	这是我买的书。	This is the book I bought.	他写的字很好看。	The characters he wrote are very nice.	你做的饭很好吃。	The food you cooked is very delicious.
的	de	particle, noun		used to indicate possession (e.g. 他的书 his book)	L1	这是他的书。	This is his book.	那是我的手机。	That is my phone.	她的猫很好看。	Her cat looks nice.
弟弟	dì di	noun	个, 位	younger brother	L1	我有一个弟弟。	I have one younger brother.	我弟弟在学校读书。	My younger brother studies at school.	他弟弟很小。	His younger brother is very young.
第	dì	numeral		used before a number to form an ordinal numeral (e.g. 第一 first)	L1	他是第一个。	He is the first.	今天是第三天。	Today is the third day.	她是第二个来的。	She was the second to arrive.
点	diǎn	time classifier, noun, time word, verb		a little	L1	我想喝点水。	I want to drink a little water.	她吃了点饭。	She ate a little food.	你买点水果吧。	Buy some fruit.
点	diǎn	time classifier, noun, time word, verb		dot	L1	他在书上做了一个点。	He made a dot on the book.	这里有一个小点。	There is a small dot here.	那个点很小。	That dot is very small.
点	diǎn	time classifier, noun, time word, verb		o’clock	L1	现在是三点。	It is now three o'clock.	我八点去学校。	I go to school at eight o'clock.	他六点起床。	He gets up at six o'clock.
电话	diàn huà	noun	部, 个	telephone	L1	我家有一部电话。	My home has one telephone.	他的电话很新。	His telephone is very new.	你的电话是多少？	What is your telephone number?
电脑	diàn nǎo	noun	台, 个	computer	L1	我有一台电脑。	I have one computer.	他的电脑很新。	His computer is very new.	我在电脑上工作。	I work on the computer.
电视	diàn shì	noun	个	television	L1	我家有两个电视。	My home has two televisions.	他在看电视。	He is watching television.	这个电视很大。	This television is very big.
电影院	diàn yǐng yuàn	noun	家	movie theater	L1	这里有一家电影院。	There is a movie theater here.	我们去电影院吧。	Let's go to the movie theater.	那个电影院很大。	That movie theater is very big.
店	diàn	noun	家	shop	L1	这里有很多家店。	There are many shops here.	那家店卖水果。	That shop sells fruit.	你喜欢那家店吗？	Do you like that shop?
东西	dōng xi	noun	个	thing	L1	这个东西是什么？	What is this thing?	桌子上有很多东西。	There are many things on the table.	我买了一些东西。	I bought some things.
都	dōu	adverb		all	L1	他们都是学生。	They are all students.	我都喜欢这些。	I like all of these.	大家都来了。	Everyone has come.
读	dú	verb		to read	L1	她在读一本书。	She is reading a book.	他读这本书。	He reads this book.	我喜欢读中文。	I like to read Chinese.
读	dú	verb		to study	L1	他在学校读中文。	He is studying Chinese at school.	她读了三年中文。	She studied Chinese for three years.	我想读中文。	I want to study Chinese.
读书	dú shū	verb, verbal noun		to attend school	L1	她的儿子去读书了。	Her son went to school.	我六岁去读书。	I started attending school at age six.	她在学校读书。	She attends school.
读书	dú shū	verb, verbal noun		to read a book	L1	他在读书。	He is reading a book.	我在家读书。	I read books at home.	她喜欢读书。	She likes to read books.
对	duì	preposition, verb, classifier, adjective		correct	L1	你说对了。	What you said is correct.	这个是对的。	This is correct.	他做对了。	He did it correctly.
对	duì	preposition, verb, classifier, adjective		regarding	L1	他对这件事不知道。	Regarding this matter, he doesn't know.	她对这件事不高兴。	She is unhappy regarding this matter.	你对这个怎么想？	What do you think regarding this?
对不起	duì bu qǐ	verb		to be sorry; I'm sorry	L1	对不起，我来晚了。	Sorry, I came late.	对不起，这是我的问题。	Sorry, this is my problem.	对不起，我不对。	Sorry, I was wrong.
多	duō	adjective, numeral, adverbial adjective, adverb, verb, morpheme		many	L1	我有很多朋友。	I have many friends.	他的书很多。	He has many books.	学校里有很多学生。	There are many students in the school.
多少	duō shǎo	pronoun		how many	L1	你有多少钱？	How much money do you have?	这里有多少人？	How many people are here?	你买了多少苹果？	How many apples did you buy?
儿子	ér zi	noun	个	son	L1	他有一个儿子。	He has a son.	我儿子在学校。	My son is at school.	她的儿子很高兴。	Her son is very happy.
二	èr	numeral, time word		two	L1	今天是二月一日。	Today is February 1st.	他是第二个到的。	He was the second to arrive.	他有二十本书。	He has twenty books.
饭	fàn	noun	碗	cooked rice	L1	我要吃饭。	I want to eat rice.	我吃了一碗饭。	I ate a bowl of rice.	这饭很好吃。	This cooked rice is very delicious.
饭	fàn	noun	顿	meal	L1	我一天吃三顿饭。	I eat three meals a day.	我们都吃饭吧。	Let's all eat food.	这里的饭很好吃。	The food here is very delicious.
饭店	fàn diàn	noun	家, 个	restaurant	L1	我们去那家饭店吃饭。	We go to that restaurant to eat.	这个饭店很好。	This restaurant is very good.	饭店里有很多人。	There are many people in the restaurant.
房间	fáng jiān	noun	间, 个	room	L1	我的房间很小。	My room is very small.	他在那个房间里。	He is in that room.	我们家有三个房间。	Our home has three rooms.
飞机	fēi jī	noun	架	airplane	L1	我坐了飞机。	I took a plane.	我看到一架飞机。	I saw an airplane.	飞机上有很多人。	There are many people on the airplane.
非常	fēi cháng	adverb, non-predicate adjective		very	L1	这本书非常好。	This book is very good.	他非常高兴。	He is very happy.	今天非常热。	Today is very hot.
分	fēn	time word, time classifier, verb, morpheme, noun, adverb		minute (the unit of time)	L1	现在是三点五分。	It is now 3:05 (three o'clock and five minutes).	现在是八点十分。	It is now 8:10.	他六点三十分到了。	He arrived at 6:30.
分	fēn	time word, time classifier, verb, morpheme, noun, adverb		to divide	L1	老师分苹果给学生。	The teacher divides the apples among the students.	我们分苹果吃。	We divide the apple to eat.	他们分了苹果。	They divided the apple.
分钟	fēn zhōng	time classifier		minute	L1	他学了五分钟。	He studied for five minutes.	去要五分钟。	It takes five minutes to get there.	请再说一分钟。	Please speak for one more minute.
高兴	gāo xìng	adjective, adjective-noun		happy	L1	我很高兴见到你。	I am very happy to see you.	孩子们非常高兴。	The children are very happy.	他今天很高兴。	He is very happy today.
哥哥	gē ge	noun	个, 位	older brother	L1	我哥哥在家。	My older brother is at home.	她有两个哥哥。	She has two older brothers.	我哥哥爱我。	My older brother loves me.
歌	gē	noun, morpheme	首	song	L1	他唱了一首歌。	He sang a song.	这个歌很好听。	This song sounds very nice.	我喜欢这个歌。	I like this song.
个	gè	classifier, morpheme		general measure word	L1	我有一个苹果。	I have one apple.	桌上有两个杯子。	There are two cups on the table.	他是一个好人。	He is a good person.
给	gěi	preposition, verb, particle		to give	L1	妈妈给我一个苹果。	Mom gives me an apple.	他给了我一本书。	He gave me a book.	请给我水。	Please give me water.
工作	gōng zuò	verbal noun, verb, noun		to work	L1	他工作很好。	He works very well.	妈妈在公司工作。	Mom works at a company.	我喜欢工作。	I like to work.
公司	gōng sī	noun	家	(business) company	L1	他在一家公司工作。	He works at a company.	这家公司很大。	This company is very big.	我爸爸有一家公司。	My dad has a company.
狗	gǒu	noun	只, 条	dog	L1	我有一只狗。	I have a dog.	那只狗很大。	That dog is very big.	狗在这里。	The dog is here.
贵	guì	adjective, pronoun, non-predicate adjective, morpheme		expensive	L1	这个苹果很贵。	This apple is very expensive.	那家饭店太贵了。	That restaurant is too expensive.	这件衣服太贵了。	This piece of clothing is too expensive.
国	guó	noun	个	country	L1	中国是一个大国。	China is a large country.	你是哪国人？	What country are you from?	你去中国了吗？	Did you go to China?
还	hái	adverb, verb		passably	L1	这个菜还好。	This dish is passably good.	他的汉语还好。	His Chinese is passably good.	今天天气还好。	The weather today is passably good.
还	hái	adverb, verb		still	L1	他还在学校。	He is still at school.	你还喜欢她吗？	Do you still like her?	妈妈还没来。	Mom still hasn't come.
还	huán	adverb, verb		to return	L1	他还书给我了。	He returned the book to me.	我要还这本书。	I need to return this book.	请你还书给他。	Please return the book to him.
孩子	hái zi	noun	个	child	L1	这个孩子很好看。	This child looks very nice.	她有两个孩子。	She has two children.	孩子在学校。	The child is at school.
汉语	hàn yǔ	noun	门	Chinese language	L1	我有一门汉语课。	I have a Chinese language class.	他的汉语很好。	His Chinese is very good.	你会说汉语吗？	Can you speak Chinese?
汉字	hàn zì	noun	个	Chinese character	L1	我会写三个汉字。	I can write three Chinese characters.	这个汉字我不会写。	I don't know how to write this character.	他学了很多汉字。	He learned many Chinese characters.
好	hǎo	adjective, adverb, verb		good	L1	他是一个好人。	He is a good person.	今天天气很好。	The weather today is very good.	这本书很好。	This book is very good.
好	hǎo	adjective, adverb, verb		very	L1	今天好热！	Today is very hot!	他好高兴。	He is very happy.	这里好大！	This place is very big!
好吃	hǎo chī	adjective		delicious	L1	这个苹果好吃。	This apple is delicious.	妈妈做的饭好吃。	The food mom makes is delicious.	饭店的菜很好吃。	The restaurant's dishes are very delicious.
好看	hǎo kàn	adjective		good-looking	L1	她非常好看。	She is very good-looking.	这件衣服很好看。	This piece of clothing is very good-looking.	那个男人很好看。	That man is very good-looking.
好听	hǎo tīng	adjective		pleasant to hear	L1	这个歌很好听。	This song is pleasant to hear.	她说话好听。	The way she speaks is pleasant to hear.	她唱歌很好听。	The way she sings is very pleasant to hear.
好玩儿	hǎo wánr	adjective		amusing	L1	这只猫好玩儿。	This cat is amusing.	这个东西好玩儿。	This thing is amusing.	他说的很好玩儿。	What he said is amusing.
好玩儿	hǎo wánr	adjective		fun	L1	这个很好玩儿。	This is fun.	今天很好玩儿。	Today is fun.	你觉得好玩儿吗？	Do you think it's fun?
喝	hē	verb		to drink	L1	我喝水。	I drink water.	她喝茶。	She drinks tea.	你喝什么？	What do you drink?
和	hé	coordinating conjunction, preposition, verb, verbal classifier, morpheme, noun		with	L1	我和你去。	I will go with you.	她和朋友吃饭。	She eats with friends.	他和我说话。	He talks with me.
很	hěn	adverb		very	L1	她很好。	She is very good.	这个很大。	This is very big.	他很高兴。	He is very happy.
后	hòu	directional word, morpheme, time word		afterwards	L1	吃饭后他睡觉了。	After eating, he went to sleep.	下课后你去哪儿？	Where are you going after class?	下班后我回家。	After work, I go home.
后	hòu	directional word, morpheme, time word		back	L1	他在后边。	He is at the back.	猫在我后边。	The cat is behind me.	她坐在后边。	She sits at the back.
后	hòu	directional word, morpheme, time word		behind	L1	他在我后边。	He is behind me.	车后有人。	There is someone behind the car.	狗在车后。	The dog is behind the car.
后	hòu	directional word, morpheme, time word		later	L1	三天后他回来了。	Three days later he came back.	他一个小时后到了。	He arrived one hour later.	两年后他去了中国。	Two years later he went to China.
回	huí	verb, verbal classifier		to go back	L1	我回家了。	I went back home.	他回学校了。	He went back to school.	你回了吗？	Did you go back?
会	huì	verb, noun		can	L1	我会说中文。	I can speak Chinese.	她会写字。	She can write characters.	你会做饭吗？	Can you cook?
火车	huǒ chē	noun	列	train	L1	我坐火车去。	I go by train.	他坐火车回家。	He takes a train home.	我看到一列火车。	I saw a train.
鸡蛋	jī dàn	noun	个, 打	chicken egg	L1	我吃一个鸡蛋。	I eat one egg.	他买了鸡蛋。	He bought eggs.	鸡蛋在哪里？	Where are the eggs?
几	jǐ	numeral, adverb		a few	L1	我有几个朋友。	I have a few friends.	桌子上有几个苹果。	There are a few apples on the table.	他买了几本书。	He bought a few books.
几	jǐ	numeral, adverb		how many	L1	你有几个孩子？	How many children do you have?	这里有几只猫？	How many cats are here?	你要几个？	How many do you want?
家	jiā	noun, classifier	个	family	L1	我家有三个人。	My family has three people.	他爱他的家。	He loves his family.	我想有一个家。	I want to have a family.
家	jiā	noun, classifier		measure word for businesses	L1	这里有三家店。	There are three shops here.	他开了一家饭店。	He opened a restaurant.	这家店很大。	This shop is very big.
家人	jiā rén	noun	个, 位	family member	L1	他是我的家人。	He is my family member.	我的家人在那里。	My family is there.	我有三个家人。	I have three family members.
见	jiàn	verb, morpheme		to see	L1	我见他了。	I saw him.	你见老师了吗？	Did you see the teacher?	她见了妈妈。	She saw her mom.
件	jiàn	classifier, morpheme		measure word for events, things, clothes, etc.	L1	我有一件事。	I have one matter.	她买了两件衣服。	She bought two pieces of clothing.	这件事很大。	This matter is very big.
饺子	jiǎo zi	noun	个	dumpling	L1	我吃饺子。	I eat dumplings.	她做了十个饺子。	She made ten dumplings.	饺子很好吃。	Dumplings are very tasty.
叫	jiào	verb, preposition, noun		to tell (someone to do something)	L1	她叫我去。	She told me to go.	妈妈叫我吃饭。	Mom told me to eat.	老师叫我说话。	The teacher told me to speak.
叫	jiào	verb, preposition, noun		to call	L1	他叫我的名字。	He called my name.	妈妈叫我回家。	Mom called me to come home.	你叫什么名字？	What is your name?
叫	jiào	verb, preposition, noun		to shout	L1	他叫了。	He shouted.	孩子在叫。	The child is shouting.	请不要叫。	Please don't shout.
觉得	jué de	verb		to think	L1	我觉得他很好。	I think he is very good.	你觉得这个怎么样？	What do you think of this?	她觉得今天很冷。	She thinks it is very cold today.
姐姐	jiě jie	noun	个	elder sister	L1	我有一个姐姐。	I have one elder sister.	姐姐在家。	My elder sister is at home.	我姐姐很好看。	My elder sister is very pretty.
今年	jīn nián	time word		this year	L1	今年他八岁。	This year he is eight years old.	今年天气很好。	This year the weather is very good.	今年我去那里。	This year I'll go there.
今天	jīn tiān	time word		today	L1	今天是星期一。	Today is Monday.	今天我在家。	Today I am at home.	今天天气好吗？	Is the weather good today?
九	jiǔ	numeral, time word, non-predicate adjective		nine	L1	我有九本书。	I have nine books.	他九岁。	He is nine years old.	桌子上有九个苹果。	There are nine apples on the table.
开	kāi	verb		to boil	L1	水开了。	The water has boiled.	水还没开。	The water hasn't boiled yet.	水开了吗？	Has the water boiled?
开	kāi	verb		to drive	L1	爸爸开车去学校。	Dad drives to school.	她不会开车。	She can't drive.	你开车去吗？	Are you driving there?
开	kāi	verb		to open	L1	请开这个。	Please open this.	他开了这个。	He opened this.	你能开这个吗？	Can you open this?
开	kāi	verb		to turn on	L1	请开电视。	Please turn on the TV.	他开了电视。	He turned on the TV.	你开电脑了吗？	Did you turn on the computer?
开车	kāi chē	verb, verbal noun		to drive a car	L1	妈妈开车去商店。	Mom drives to the store.	他开车去学校。	He drives to school.	我不会开车。	I can't drive.
看	kàn	verb		to look at	L1	他在看书。	He is reading a book.	我看那个人。	I look at that person.	请看这里。	Please look here.
看病	kàn bìng	verb, verbal noun		to see a doctor	L1	妈妈去看病了。	Mom went to see a doctor.	他今天要去看病。	He needs to see a doctor today.	你去看病了吗？	Did you go see a doctor?
看见	kàn jiàn	verb		to see	L1	我看见他了。	I saw him.	你看见猫了吗？	Did you see the cat?	她看见一只猫。	She saw a cat.
可以	kě yǐ	verb		can	L1	我可以来吗？	Can I come?	你可以吃这个。	You can eat this.	他可以说中文。	He can speak Chinese.
课	kè	noun	节	class	L1	我有课。	I have class.	今天有一节课。	There is one class today.	我的课在下午。	My class is in the afternoon.
课	kè	noun	节, 门	lesson	L1	第一课很好。	The first lesson is very good.	今天学哪一课？	Which lesson are we studying today?	我们今天学了两节课。	We studied two lessons today.
口	kǒu	classifier, noun		measure word for bites or mouthfuls	L1	我吃了一口饭。	I took one bite of rice.	他喝了一口水。	He took one mouthful of water.	你吃两口吧。	Have two bites.
口	kǒu	classifier, noun		measure word for people and domestic animals	L1	家里有三口人。	There are three people in the family.	他家有两口人。	His family has two people.	我家五口人。	My family has five people.
口	kǒu	classifier, noun	张	mouth	L1	他的口很大。	His mouth is very big.	他开口说话。	He opened his mouth to speak.	他有一张大口。	He has a big mouth.
块	kuài	classifier, morpheme		measure word for yuan and pieces	L1	这个苹果一块钱。	This apple is one yuan.	他给了我三块钱。	He gave me three yuan.	这块面包多少钱？	How much is this piece of bread?
来	lái	verb, directional word, numeral, particle, modal particle		to come	L1	妈妈来了。	Mom came.	他来我家。	He came to my home.	老师来了吗？	Has the teacher come?
老师	lǎo shī	noun	个, 位	teacher	L1	老师很好。	The teacher is very kind.	我有一个好老师。	I have a good teacher.	老师在学校里。	The teacher is in the school.
了	le	modal particle, particle, verb		indicates completion of action	L1	他吃了饭。	He ate the meal (action completed).	我买了一本书。	I bought a book.	她喝了水。	She drank the water.
了	liǎo	modal particle, particle, verb		to complete	L1	这件事他做不了。	He can't finish this matter.	这本书我看不了。	I can't finish reading this book.	这个饭你吃不了吗？	Can't you finish this food?
冷	lěng	adjective, adverbial adjective, morpheme		cold	L1	今天很冷。	It is very cold today.	水很冷。	The water is very cold.	今年冷吗？	Is it cold this year?
里	lǐ	directional word, classifier		inside	L1	猫在家里。	The cat is inside the house.	杯子里有水。	There is water in the cup.	房间里有人吗？	Is there someone in the room?
两	liǎng	numeral, time word		two	L1	我有两个姐姐。	I have two older sisters.	桌上有两本书。	There are two books on the table.	他买了两个苹果。	He bought two apples.
零	líng	numeral, time word, morpheme		used between two denominations (e.g. 两年零三天 two years and three days)	L1	他学了两年零三个月。	He studied for two years and three months.	他学了一小时零五分钟。	He studied for one hour and five minutes.	他工作了一年零两个月。	He worked for one year and two months.
零	líng	numeral, time word, morpheme		zero	L1	这是零。	This is zero.	他的钱是零。	His money is zero.	他的分是零。	His score is zero.
六	liù	numeral, time word		six	L1	我有六本书。	I have six books.	桌上有六个苹果。	There are six apples on the table.	他六岁了。	He is six years old.
妈妈	mā ma	noun	个, 位	mom	L1	我妈妈在家。	My mom is at home.	妈妈做饭了。	Mom made food.	她是一个好妈妈。	She is a good mom.
吗	ma	modal particle		"(question particle for ""yes-no"" questions)"	L1	你是学生吗？	Are you a student?	他来了吗？	Has he come?	这是你的书吗？	Is this your book?
买	mǎi	verb		to buy	L1	我买了一本书。	I bought a book.	妈妈去买苹果。	Mom went to buy apples.	你买了什么？	What did you buy?
卖	mài	verb		to sell	L1	他卖书。	He sells books.	她卖苹果。	She sells apples.	这个店卖猫吗？	Does this shop sell cats?
忙	máng	adjective		busy	L1	妈妈很忙。	Mom is very busy.	他今天很忙。	He is very busy today.	你忙吗？	Are you busy?
猫	māo	noun	只	cat	L1	我有一只猫。	I have one cat.	那只猫很小。	That cat is very small.	猫在桌子上。	The cat is on the table.
没关系	méi guān xi	expression		it doesn't matter	L1	没关系，请坐。	It doesn't matter, please sit.	来晚了？没关系。	Late? It doesn't matter.	来晚了没关系。	It doesn't matter that you're late.
没事	méi shì	expression		it's nothing; never mind; no problem	L1	没事，我很好。	It's nothing, I'm fine.	他说没事。	He said 'It's nothing.'	你没事吧？	Are you okay?
没有	méi yǒu	verb, adverb		to not have; there is no; (negates past actions) did not	L1	我没有钱。	I don't have money.	他没有来。	He didn't come.	家里没有人。	There's no one at home.
妹妹	mèi mei	noun	个	little sister	L1	我妹妹很小。	My little sister is very small.	他有一个妹妹。	He has one little sister.	妹妹在家吗？	Is little sister at home?
们	men	suffix		suffix indicating plurality (e.g. 学生们 students)	L1	他们在学习。	They are studying.	老师们很忙。	The teachers are very busy.	孩子们在学习。	The children are studying.
米饭	mǐ fàn	noun	碗	(cooked) rice	L1	我要吃米饭。	I want to eat rice.	我要一碗米饭。	I want a bowl of rice.	这个米饭很好吃。	This rice is very tasty.
面包	miàn bāo	noun	片, 袋, 块	bread	L1	我买了一块面包。	I bought a piece of bread.	她早上吃面包。	She eats bread in the morning.	桌上有一块面包。	There is a piece of bread on the table.
面条儿	miàn tiáor	noun	碗	noodles	L1	我想吃面条儿。	I want to eat noodles.	她做的面条儿很好吃。	The noodles she made are very tasty.	我要一碗面条儿。	I want a bowl of noodles.
名字	míng zi	noun	个	name (of a person or thing)	L1	你叫什么名字？	What is your name?	这个名字很好听。	This name sounds nice.	她有一个好名字。	She has a nice name.
明年	míng nián	time word		next year	L1	明年我去中国。	Next year I will go to China.	她明年学中文。	She will study Chinese next year.	明年你做什么？	What will you do next year?
明天	míng tiān	time word		tomorrow	L1	明天我不上班。	I don't work tomorrow.	明天你来吗？	Will you come tomorrow?	明天天气好吗？	Will the weather be good tomorrow?
哪	nǎ	pronoun		which	L1	哪本书是你的？	Which book is yours?	你去哪个学校？	Which school do you go to?	你要哪个？	Which one do you want?
哪儿	nǎr	pronoun		where	L1	你去哪儿？	Where are you going?	他在哪儿？	Where is he?	你住在哪儿？	Where do you live?
哪个	nǎ ge	pronoun		which one; which	L1	你要哪个？	Which one do you want?	哪个是你的书？	Which one is your book?	哪个人是你爸爸？	Which person is your dad?
哪里	nǎ li	pronoun		humble expression denying compliment	L1	你的中文很好！哪里哪里。	Your Chinese is very good! Not at all.	你很漂亮！哪里哪里。	You are so pretty! Not at all.	你的汉字很好看！哪里哪里。	Your characters look great! Not at all.
哪里	nǎ lǐ	pronoun		where?	L1	她在哪里？	Where is she?	你的书在哪里？	Where is your book?	学校在哪里？	Where is the school?
哪些	nǎ xiē	pronoun		which ones?	L1	你要哪些东西？	Which things do you want?	哪些学生来了？	Which students came?	那些是哪些人的？	Whose are those?
那	nà	pronoun, conjunction		then	L1	你不去，那我去。	You're not going, then I'll go.	他不来，那我们吃饭吧。	He's not coming, then let's eat.	太贵了，那我不买了。	It's too expensive, then I won't buy it.
那边	nà biān	pronoun		over there	L1	他在那边。	He is over there.	学校在那边。	The school is over there.	那边有人吗？	Is there someone over there?
那儿	nàr	pronoun		there	L1	她在那儿工作。	She works there.	我们去那儿吧。	Let's go there.	你去那儿做什么？	What are you going there to do?
那个	nà ge	pronoun		that one; that	L1	那个是我的。	That one is mine.	我要那个。	I want that one.	那个人是谁？	Who is that person?
那里	nà lǐ	pronoun		there	L1	他住在那里。	He lives there.	那里有很多人。	There are many people there.	我们在那里吃饭。	We eat there.
那些	nà xiē	pronoun		those	L1	那些是我的书。	Those are my books.	那些人是谁？	Who are those people?	那些苹果很好吃。	Those apples are very tasty.
男	nán	non-predicate adjective, morpheme		male	L1	那个学生是男的。	That student is male.	他是男孩子。	He is a male child.	他是男老师。	He is a male teacher.
男朋友	nán péng you	noun	个	boyfriend	L1	她有一个男朋友。	She has a boyfriend.	你有男朋友吗？	Do you have a boyfriend?	他是我的男朋友。	He is my boyfriend.
呢	ne	modal particle		final particle used to add emphasis	L1	这个真好吃呢！	This really is delicious!	他来了呢！	He really did come!	天气很好呢！	The weather really is great!
呢	ne	modal particle		final particle used to indicate or soften the tone of a question	L1	你去哪儿呢？	Where are you going?	他在哪里呢？	Where is he?	你吃什么呢？	What are you eating?
能	néng	verb, morpheme		can	L1	我能说中文。	I can speak Chinese.	你能来吗？	Can you come?	他能吃很多。	He can eat a lot.
